"filename", "language", "JSON", "JavaScript", "XML", "CSS", "Markdown", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\package-lock.json", "JSON", 19312, 0, 0, 0, 0, 0, 0, 0, 1, 19313
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\public\manifest.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\App.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\LogsPage.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 11, 129
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\OrdersPage.js", "JavaScript", 0, 239, 0, 0, 0, 0, 0, 1, 16, 256
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\PreviewPage.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 1, 7, 166
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\StockPage.js", "JavaScript", 0, 302, 0, 0, 0, 0, 0, 1, 12, 315
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\UsersPage.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 1, 13, 131
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\api\axiosInstance.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\api\logsApi.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\api\ordersApi.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\api\stockApi.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\api\userApi.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\LoginForm.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\OrderPreviewPrint.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 1, 10, 87
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\OrdersTable.js", "JavaScript", 0, 188, 0, 0, 0, 0, 0, 1, 12, 201
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\Sidebar.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 11, 147
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\StockTable.js", "JavaScript", 0, 264, 0, 0, 0, 0, 0, 1, 16, 281
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\UserProfile.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 1, 11, 135
"c:\Users\zheka\OneDrive\Документы\GitHub\transport_service\client\src\components\UsersTable.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 10, 136
